time_s,decimated_V,nn_kalman_V,fixed_kalman_V
0.04600000,3.23242188,3.23349416,3.23244530
0.04640000,3.19824219,3.19957701,3.19826269
0.04680000,3.19335938,3.19364406,3.19336231
0.04720000,3.19335938,3.19337380,3.19335938
0.04760000,3.17871094,3.17951412,3.17871972
0.04800000,3.17382812,3.17412945,3.17383106
0.04840000,3.17382812,3.17384282,3.17382813
0.04880000,3.17382812,3.17382889,3.17382813
0.04920000,3.17382812,3.17382819,3.17382813
0.04960000,3.16894531,3.16967389,3.16894824
0.05000000,3.15429688,3.15791433,3.15430566
0.05040000,3.15429688,3.15551498,3.15429688
0.05080000,3.15429688,3.15483212,3.15429688
0.05120000,3.14453125,3.15003434,3.14453710
0.05160000,3.13476562,3.14415251,3.13477148
0.05200000,3.11523438,3.13489132,3.11524608
0.05240000,3.10546875,3.12695179,3.10547461
0.05280000,3.09570312,3.11971636,3.09570898
0.05320000,3.07617188,3.11081870,3.07618358
0.05360000,3.06640625,3.10260220,3.06641211
0.05400000,3.05664062,3.09197352,3.05664648
0.05440000,3.03710938,3.05627862,3.03712108
0.05480000,3.02734375,3.03089985,3.02734961
0.05520000,3.01757812,3.01858296,3.01758398
0.05560000,2.99804688,2.99954317,2.99805858
0.05600000,2.98828125,2.98908410,2.98828711
0.05640000,2.97851562,2.97915173,2.97852148
0.05680000,2.95898438,2.96009980,2.95899608
0.05720000,2.94921875,2.94968330,2.94922461
0.05760000,2.93945312,2.93968690,2.93945898
0.05800000,2.91992188,2.92078319,2.91993358
0.05840000,2.91503906,2.91550045,2.91504200
0.05880000,2.90039062,2.90249596,2.90039941
0.05920000,2.88574219,2.88946794,2.88575097
0.05960000,2.87597656,2.88032434,2.87598242
0.06000000,2.86132812,2.86940876,2.86133691
0.06040000,2.84667969,2.85852608,2.84668847
0.06080000,2.83691406,2.84994591,2.83691992
0.06120000,2.82226562,2.84073637,2.82227441
0.06160000,2.80761719,2.83141661,2.80762597
0.06200000,2.79785156,2.82315888,2.79785742
0.06240000,2.78320312,2.81289690,2.78321191
0.06280000,2.76855469,2.79814881,2.76856347
0.06320000,2.75878906,2.76695853,2.75879492
0.06360000,2.74414062,2.74637264,2.74414941
0.06400000,2.72949219,2.73105354,2.72950097
0.06440000,2.71972656,2.72060081,2.71973242
0.06480000,2.70507812,2.70616335,2.70508691
0.06520000,2.69531250,2.69606383,2.69531836
0.06560000,2.68554688,2.68613972,2.68555273
0.06600000,2.66601562,2.66681796,2.66602733
0.06640000,2.65625000,2.65680036,2.65625586
0.06680000,2.64648438,2.64745918,2.64649023
0.06720000,2.62695312,2.63024370,2.62696483
0.06760000,2.61718750,2.62044326,2.61719336
0.06800000,2.60742188,2.61199979,2.60742773
0.06840000,2.58789062,2.59883551,2.58790233
0.06880000,2.57812500,2.58943695,2.57813086
0.06920000,2.56835938,2.58146689,2.56836523
0.06960000,2.54882812,2.57113156,2.54883983
0.07000000,2.53906250,2.56249521,2.53906836
0.07040000,2.52929688,2.55343118,2.52930273
0.07080000,2.50976562,2.54179063,2.50977733
0.07120000,2.50000000,2.52596551,2.50000586
0.07160000,2.49023438,2.49419017,2.49024023
0.07200000,2.47070312,2.47307708,2.47071483
0.07240000,2.46582031,2.46650354,2.46582325
0.07280000,2.45117188,2.45225618,2.45118066
0.07320000,2.43652344,2.43763395,2.43653222
0.07360000,2.42675781,2.42751862,2.42676367
0.07400000,2.41210938,2.41287223,2.41211816
0.07440000,2.39746094,2.39812117,2.39746972
0.07480000,2.38769531,2.38844726,2.38770117
0.07520000,2.37304688,2.37499732,2.37305566
0.07560000,2.35839844,2.36181087,2.35840722
0.07600000,2.34863281,2.35262814,2.34863867
0.07640000,2.33398438,2.34157134,2.33399316
0.07680000,2.31933594,2.33056084,2.31934472
0.07720000,2.30957031,2.32193257,2.30957617
0.07760000,2.29492188,2.31267327,2.29493066
0.07800000,2.28027344,2.30330636,2.28028222
0.07840000,2.27050781,2.29506507,2.27051367
0.07880000,2.26562500,2.28779462,2.26562793
0.07920000,2.39746094,2.31600654,2.39738192
0.07960000,2.56835938,2.37748156,2.56825690
0.08000000,2.70019531,2.68100559,2.70011623
0.08040000,2.52441406,2.53759801,2.52451937
0.08080000,2.29980469,2.33055488,2.29993937
0.08120000,2.28515625,2.28728599,2.28516511
0.08160000,2.32421875,2.32302488,2.32419534
0.08200000,2.36328125,2.36219078,2.36325782
0.08240000,2.40234375,2.40220231,2.40232032
0.08280000,2.44140625,2.44130106,2.44138282
0.08320000,2.47070312,2.47062814,2.47068555
0.08360000,2.50976562,2.50960125,2.50974220
0.08400000,2.54882812,2.54855482,2.54880470
0.08440000,2.58789062,2.58743969,2.58786720
0.08480000,2.62695312,2.62612155,2.62692970
0.08520000,2.65625000,2.65516593,2.65623243
0.08560000,2.69531250,2.69304748,2.69528908
0.08600000,2.73437500,2.73115788,2.73435157
0.08640000,2.77343750,2.76899864,2.77341407
0.08680000,2.81250000,2.80756977,2.81247657
0.08720000,2.84667969,2.84210198,2.84665919
0.08760000,2.88085938,2.87623070,2.88083888
0.08800000,2.91992188,2.91475536,2.91989845
0.08840000,2.95898438,2.95337363,2.95896095
0.08880000,2.99804688,2.99291639,2.99802345
0.08920000,3.02734375,3.02351082,3.02732618
0.08960000,3.06640625,3.06157449,3.06638283
0.09000000,3.10546875,3.10057056,3.10544532
0.09040000,3.14453125,3.13956684,3.14450782
0.09080000,3.18359375,3.17861500,3.18357032
0.09120000,3.21777344,3.21347298,3.21775294
0.09160000,3.25195312,3.24769546,3.25193263
0.09200000,3.29101562,3.28621999,3.29099220
0.09240000,3.33007812,3.32502474,3.33005470
0.09280000,3.36914062,3.36421882,3.36911720
0.09320000,3.40332031,3.39901656,3.40329981
0.09360000,3.43750000,3.43323393,3.43747950
0.09400000,3.47656250,3.47172670,3.47653907
0.09440000,3.51562500,3.51066312,3.51560157
0.09480000,3.55468750,3.54967947,3.55466407
0.09520000,3.59375000,3.58887785,3.59372657
0.09560000,3.62304688,3.61929276,3.62302930
0.09600000,3.66210938,3.65735326,3.66208595
0.09640000,3.70117188,3.69625403,3.70114845
0.09680000,3.74023438,3.73524032,3.74021095
0.09720000,3.76464844,3.76139000,3.76463379
0.09760000,3.62792969,3.64300627,3.62801162
